video_clip_id,frame_id,movement_id,vehicle_class_id
10,16,3,1
10,23,4,1
10,31,12,1
10,32,10,1
10,36,3,1
10,39,3,1
10,45,2,1
10,46,3,1
10,48,3,2
10,49,3,1
10,53,4,1
10,65,3,1
10,65,3,2
10,72,3,1
10,73,2,1
10,76,4,1
10,77,3,1
10,77,10,1
10,83,3,1
10,84,3,2
10,91,2,1
10,92,2,2
10,110,2,2
10,111,3,1
10,116,2,1
10,122,3,1
10,125,3,1
10,130,1,1
10,132,3,2
10,136,8,1
10,137,10,1
10,139,10,1
10,148,3,2
10,201,3,1
10,201,11,1
10,208,11,1
10,231,11,1
10,232,8,2
10,235,11,1
10,243,4,1
10,243,4,2
10,248,11,1
10,250,11,1
10,262,11,1
10,263,11,2
10,278,11,1
10,283,11,1
10,308,3,2
10,311,11,1
10,319,4,1
10,319,11,1
10,320,11,1
10,327,11,1
10,332,3,2
10,348,11,1
10,351,11,1
10,359,5,2
10,370,11,1
10,382,2,2
10,398,11,1
10,401,11,1
10,406,12,1
10,413,3,2
10,417,3,2
10,433,11,1
10,438,12,1
10,441,11,1
10,442,1,1
10,442,4,1
10,449,10,1
10,453,5,2
10,453,10,1
10,454,3,1
10,457,11,1
10,473,5,1
10,478,11,1
10,478,12,1
10,483,4,1
10,489,11,1
10,491,4,1
10,496,11,1
10,502,5,1
10,505,1,1
10,508,7,1
10,566,3,1
10,567,2,1
10,572,12,2
10,594,7,2
10,600,3,1
10,600,4,1
10,600,4,1
10,600,5,1
10,600,5,1
10,600,9,1
10,600,12,1
