video_clip_id,frame_id,movement_id,vehicle_class_id
10,16,6,1
10,23,4,1
10,31,6,1
10,32,10,1
10,36,6,1
10,39,6,1
10,45,6,1
10,46,6,1
10,48,6,2
10,49,6,1
10,53,4,1
10,65,6,1
10,65,6,2
10,72,6,1
10,73,6,1
10,76,4,1
10,77,2,1
10,77,6,1
10,83,6,1
10,84,6,2
10,91,6,1
10,92,10,2
10,110,10,2
10,111,6,1
10,116,6,1
10,122,3,1
10,125,6,1
10,130,1,1
10,132,6,2
10,136,8,1
10,137,10,1
10,139,10,1
10,148,6,2
10,201,6,1
10,201,11,1
10,208,11,1
10,231,11,1
10,232,7,2
10,235,11,1
10,243,4,2
10,243,5,1
10,248,11,1
10,250,11,1
10,262,11,1
10,263,11,2
10,278,11,1
10,283,11,1
10,308,6,2
10,311,11,1
10,319,5,1
10,319,11,1
10,320,11,1
10,327,11,1
10,332,6,2
10,348,11,1
10,351,11,1
10,359,4,2
10,370,11,1
10,382,6,2
10,398,11,1
10,401,11,1
10,406,11,1
10,413,6,2
10,417,6,2
10,433,11,1
10,438,12,1
10,441,11,1
10,442,1,1
10,442,1,1
10,449,10,1
10,453,4,2
10,453,10,1
10,454,6,1
10,457,11,1
10,473,4,1
10,478,3,1
10,478,11,1
10,483,1,1
10,489,11,1
10,491,4,1
10,496,11,1
10,502,5,1
10,505,2,1
10,508,12,1
10,566,3,1
10,567,2,1
10,572,11,2
10,594,7,2
10,600,3,1
10,600,4,1
10,600,4,1
10,600,4,1
10,600,4,1
10,600,7,1
10,600,12,1
