video_clip_id,frame_id,movement_id,vehicle_class_id
10,14,6,1
10,26,3,2
10,32,6,1
10,34,6,1
10,38,6,1
10,47,6,1
10,49,6,1
10,50,10,1
10,56,4,1
10,56,6,1
10,69,3,1
10,73,6,2
10,76,10,1
10,77,2,1
10,81,10,1
10,95,10,2
10,96,10,1
10,101,10,1
10,106,4,1
10,108,10,1
10,110,4,1
10,112,6,2
10,116,1,1
10,117,4,1
10,122,6,2
10,122,10,1
10,123,4,1
10,127,10,1
10,132,3,1
10,133,3,1
10,137,5,1
10,138,10,1
10,141,10,1
10,148,3,1
10,155,6,1
10,167,4,1
10,168,3,1
10,175,1,2
10,176,6,2
10,189,3,1
10,190,6,2
10,193,5,1
10,195,6,1
10,200,4,2
10,209,5,1
10,213,6,1
10,219,6,1
10,227,5,1
10,258,3,1
10,267,11,2
10,270,3,1
10,273,6,1
10,276,4,1
10,284,5,1
10,291,5,1
10,292,11,1
10,308,5,2
10,313,11,1
10,320,11,1
10,322,5,1
10,343,4,2
10,347,11,1
10,351,4,1
10,354,6,2
10,354,11,1
10,355,11,1
10,357,12,1
10,359,1,2
10,370,11,1
10,371,6,1
10,374,3,1
10,380,5,1
10,384,3,1
10,387,6,2
10,398,5,1
10,403,11,1
10,404,7,1
10,405,11,1
10,408,12,2
10,426,6,2
10,427,11,1
10,430,5,1
10,437,12,1
10,438,3,1
10,441,4,2
10,442,1,1
10,453,4,2
10,454,10,1
10,461,10,1
10,464,4,1
10,475,5,2
10,477,6,1
10,510,7,2
10,512,11,1
10,515,6,1
10,517,3,1
10,520,5,2
10,541,4,1
10,542,8,1
10,545,6,1
10,548,5,1
10,549,8,2
10,551,11,1
10,579,6,1
10,580,7,1
10,581,6,2
10,592,6,1
10,596,11,1
10,600,3,1
10,600,3,1
10,600,3,1
10,600,5,1
10,600,5,1
10,600,5,2
10,600,7,1
10,600,7,1
10,600,7,2
10,600,12,1
