video_clip_id,frame_id,movement_id,vehicle_class_id
10,19,5,1
10,24,4,1
10,24,5,1
10,28,12,2
10,31,3,1
10,32,5,1
10,40,4,1
10,46,3,1
10,47,6,1
10,49,6,1
10,50,10,1
10,52,5,1
10,53,6,1
10,66,3,1
10,74,4,1
10,76,10,1
10,77,2,1
10,81,10,1
10,92,6,1
10,93,10,2
10,96,10,1
10,101,10,1
10,102,5,1
10,109,6,1
10,112,4,1
10,112,6,2
10,112,10,2
10,122,6,2
10,122,10,1
10,126,2,1
10,126,6,1
10,127,10,1
10,128,6,1
10,136,5,1
10,138,5,2
10,138,10,1
10,141,10,1
10,162,4,1
10,162,6,1
10,167,4,2
10,168,7,1
10,176,3,2
10,181,6,1
10,185,3,1
10,190,6,2
10,196,6,1
10,199,5,1
10,202,5,1
10,212,6,1
10,214,11,1
10,215,11,1
10,218,5,1
10,260,4,2
10,261,3,1
10,268,11,2
10,272,3,1
10,284,8,2
10,296,6,1
10,304,4,1
10,318,11,1
10,320,3,1
10,324,6,1
10,328,11,1
10,337,11,1
10,338,5,1
10,346,5,1
10,355,6,2
10,357,4,1
10,359,5,1
10,363,3,1
10,364,5,1
10,378,4,1
10,381,7,1
10,382,3,1
10,387,6,2
10,398,4,1
10,403,11,1
10,405,11,1
10,416,1,1
10,419,11,1
10,430,4,1
10,434,11,1
10,437,12,1
10,438,3,1
10,441,4,2
10,442,1,1
10,450,10,1
10,451,6,1
10,453,5,2
10,454,10,1
10,461,10,1
10,461,12,1
10,464,3,1
10,465,6,1
10,470,4,2
10,478,6,1
10,480,11,1
10,491,4,1
10,491,7,1
10,501,6,1
10,503,5,1
10,509,6,2
10,515,2,1
10,516,11,1
10,520,5,2
10,523,12,2
10,534,6,1
10,540,5,1
10,551,6,1
10,565,6,1
10,570,6,1
10,574,11,1
10,575,11,1
10,581,6,2
10,599,12,1
10,600,3,1
10,600,3,2
10,600,4,1
10,600,5,1
10,600,6,1
10,600,6,1
10,600,7,1
10,600,7,1
10,600,7,1
10,600,7,2
